Image,Landmark,x1,y1,x2,y2
1,1,182,45,144.644992,35.43312
1,2,174,93,152.468608,87.6944928
1,3,170,96,147.027712,89.9270688
1,4,169,100,148.878592,96.86188992
1,5,167,101,145.611904,98.6720832
1,6,156,124,136.7963904,125.41152
1,7,157,127,139.2265088,128.956608
1,8,155,132,135.4409216,132.194976
1,9,156,134,136.6213504,136.46976
1,10,151,137,132.3660416,138.134976
1,11,149,150,131.4722176,143.974848
1,12,154,153,137.0521216,150.583968
1,13,201,176,191.259776,166.473216
1,14,221,182,209.169152,170.840448
1,15,231,167,215.349376,156.036384
1,16,226,160,209.711744,150.178368
1,17,229,152,213.352832,138.999648
1,18,223,97,202.884864,84.650784
2,1,137,43,133.2228608,36.985152
2,2,154,92,147.190144,88.201344
2,3,150,96,142.701824,91.5428064
2,4,153,100,145.06944,97.1444832
2,5,150,102,141.9936,99.7441344
2,6,148,133,137.1371264,127.59648
2,7,150,136,140.823552,130.98816
2,8,148,139,137.4199808,134.58528
2,9,148,141,139.3973632,138.228096
2,10,147,143,134.9546368,139.864992
2,11,148,149,134.5999872,145.73472
2,12,156,152,140.7346048,151.608576
2,13,207,155,196.60736,161.106432
2,14,227,159,215.898752,162.939264
2,15,231,142,219.207808,147.390048
2,16,223,136,212.3584,142.846656
2,17,225,127,215.516032,130.097472
2,18,201,77,197.62944,78.856032
3,1,143,26,142.58624,25.850016
3,2,164,65,156.308608,73.743648
3,3,162,70,151.073792,75.95088
3,4,165,73,154.2752,81.655488
3,5,159,83,151.31776,83.740608
3,6,158,116,147.519744,113.642784
3,7,161,118,149.069952,116.022432
3,8,157,121,146.317312,118.489824
3,9,159,125,147.808896,123.089376
3,10,155,127,144.02048,125.39808
3,11,157,134,145.294208,130.668384
3,12,161,137,150.89024,135.517344
3,13,218,139,206.30528,143.570304
3,14,240,139,224.29824,144.50544
3,15,242,122,228.17408,130.965792
3,16,234,117,221.431424,124.784736
3,17,235,107,223.328,112.35648
3,18,210,58,205.0464,64.191936
5,1,111,31,111.042176,30.409152
5,2,113,68,111.450624,80.73264
5,3,109,71,104.835712,81.66384
5,4,109,74,105.673728,88.8684288
5,5,109,75,101.536896,90.4940544
5,6,103,87,88.477568,116.035392
5,7,103,89,89.784832,118.869216
5,8,99,90,85.752192,120.82032
5,9,98,95,85.131008,124.825344
5,10,93,94,81.682176,125.451456
5,11,89,98,80.349696,131.72064
5,12,92,102,85.41696,138.141216
5,13,120,177,132.921792,163.546848
5,14,141,182,150.801152,171.508128
5,15,148,164,158.131456,157.748352
5,16,148,160,153.471488,151.294272
5,17,155,151,160.320896,139.932768
5,18,154,94,158.574976,89.8779168
6,1,108,52,112.718592,39.471072
6,2,146,91,136.5797888,83.983872
6,3,141,97,130.9458944,88.204896
6,4,146,100,136.0635776,94.3891776
6,5,144,104,132.7546496,97.1295264
6,6,152,128,133.9859328,124.99728
6,7,153,129,136.6365056,127.357248
6,8,152,131,135.1770112,131.510976
6,9,154,132,136.3644288,134.126208
6,10,152,136,133.8604928,136.349184
6,11,156,147,133.9819392,141.963456
6,12,162,150,141.304064,146.377056
6,13,214,136,196.85184,145.863552
6,14,236,123,214.672256,144.671808
6,15,232,111,215.211904,128.816544
6,16,223,110,208.381568,124.18032
6,17,221,100,209.00736,113.157024
6,18,186,64,182.660736,68.17152
7,1,166,20,145.52064,27.574656
7,2,168,70,150.560384,76.82832
7,3,161,72,144.571776,78.042432
7,4,163,79,146.351872,83.880576
7,5,159,81,142.915712,86.015616
7,6,149,110,132.9089792,111.716832
7,7,150,112,133.8043264,114.404928
7,8,145,116,130.3665024,117.014112
7,9,147,121,129.798144,120.500544
7,10,143,121,127.26028032,121.763904
7,11,142,126,126.057536,126.77136
7,12,145,132,130.496192,132.851808
7,13,201,152,179.238912,152.512032
7,14,213,158,196.45056,158.743872
7,15,224,141,202.92736,145.666752
7,16,221,136,198.249728,138.279648
7,17,226,127,203.505792,128.522592
7,18,218,73,195.7824,78.703296
8,1,123,44,125.9855232,39.081312
8,2,138,86,131.2800768,89.3394816
8,3,132,92,124.6932736,91.0412544
8,4,132,105,126.4459264,97.8917952
8,5,129,106,123.1459456,99.870432
8,6,117,133,113.155584,126.1056
8,7,119,136,114.759424,128.931456
8,8,115,140,110.771456,131.5992
8,9,116,143,111.329152,135.906144
8,10,114,145,107.470976,137.681184
8,11,113,150,106.776576,143.533152
8,12,115,153,112.104704,148.856352
8,13,168,174,164.8992,168.422304
8,14,187,181,181.798144,173.607072
8,15,195,165,188.411008,159.49584
8,16,191,159,182.658816,153.401568
8,17,195,152,187.297408,142.145664
8,18,187,100,180.137088,92.3222976
9,1,64,34,78.796544,36.412608
9,2,98,78,101.488128,81.660384
9,3,92,82,96.669824,84.768096
9,4,98,88,100.138112,90.4602624
9,5,95,91,97.37024,93.9753504
9,6,101,121,98.411904,122.258112
9,7,104,123,100.053504,124.174752
9,8,102,128,97.696128,127.306176
9,9,104,131,100.181248,131.336448
9,10,102,134,96.917376,134.207616
9,11,103,138,98.913664,139.89024
9,12,108,143,106.037376,142.524192
9,13,173,139,160.76544,142.04016
9,14,182,142,179.065728,140.110464
9,15,181,127,178.591744,124.993248
9,16,174,124,171.66144,120.718272
9,17,171,116,172.730368,108.869568
9,18,153,77,145.677696,65.007744
10,1,186,30,142.357376,30.02928
10,2,182,82,150.711424,79.940064
10,3,176,83,145.199744,81.618336
10,4,177,88,147.428096,88.32624
10,5,174,89,144.030336,90.3984768
10,6,159,114,136.2165376,117.455136
10,7,161,116,138.1131904,120.374208
10,8,156,119,134.8436608,123.613056
10,9,156,123,135.2979584,127.229088
10,10,153,124,132.406528,129.346848
10,11,152,127,131.4128128,134.52912
10,12,156,133,136.6325376,140.733696
10,13,200,163,190.275328,155.619168
10,14,217,171,207.436544,159.817056
10,15,224,154,213.176064,145.02864
10,16,221,150,207.731584,138.844704
10,17,226,143,211.513472,128.706432
10,18,228,87,198.977024,76.298112
11,1,115,21,131.3842432,21.636096
11,2,148,70,148.227584,68.860896
11,3,143,74,142.370816,71.78304
11,4,150,82,145.628032,77.475552
11,5,147,85,142.476288,79.07328
11,6,152,121,140.2264832,108.775296
11,7,154,122,139.929856,110.966592
