Image,Landmark,x1,y1,x2,y2
1,1,183,17,185.019904,20.036256
1,2,208,91,201.478528,99.4357248
1,3,218,101,205.729152,102.6391872
1,4,218,108,203.714176,113.70096
1,5,225,118,210.479872,124.298496
1,6,225,121,209.225728,127.856832
1,7,227,124,212.656768,130.660416
1,8,227,128,210.271616,134.132064
1,9,230,132,214.37632,138.986592
1,10,228,139,205.623552,147.608064
1,11,178,165,154.503552,161.665056
1,12,156,170,134.9305216,167.174784
1,13,146,154,126.1764224,151.01184
1,14,151,148,133.0201728,144.536256
1,15,146,138,127.63821056,132.004608
1,16,145,74,135.8180736,76.91088
2,1,209,29,197.709056,25.407936
2,2,209,90,206.08768,104.8365696
2,3,222,112,209.646848,108.944352
2,4,220,120,206.573696,120.96
2,5,224,128,211.983872,129.82704
2,6,219,136,210.114688,132.930144
2,7,227,143,212.955648,136.48176
2,8,222,149,210.258944,139.699488
2,9,227,154,213.169536,144.168864
2,10,218,160,204.828544,152.31984
2,11,167,163,149.971072,159.595296
2,12,154,161,130.3477248,161.50224
2,13,151,153,123.9884416,144.67296
2,14,150,142,131.4269952,139.010016
2,15,147,133,127.9276256,127.462176
2,16,160,75,143.119232,74.073792
4,1,217,40,174.115584,30.152064
4,2,231,116,193.2096,105.856512
4,3,244,124,196.641792,109.756512
4,4,243,137,196.062976,119.325696
4,5,249,144,201.201408,127.269504
4,6,248,150,199.291904,130.884096
4,7,251,152,203.332736,133.96608
4,8,250,156,200.937856,136.9416
4,9,253,160,204.61184,140.679456
4,10,246,169,197.641984,149.235552
4,11,198,171,150.882048,163.232352
4,12,186,185,134.3133184,168.145536
4,13,174,176,125.9636736,152.629824
4,14,175,172,133.3545344,146.805504
4,15,167,158,127.62637696,134.332608
4,16,174,92,134.6592128,84.020832
5,1,153,39,155.635968,39.790752
5,2,139,117,146.029312,119.494464
5,3,148,127,150.367232,124.289952
5,4,142,136,145.552384,134.154624
5,5,145,146,147.053184,146.128608
5,6,140,148,142.98304,147.585984
5,7,143,153,146.697216,152.36736
5,8,140,156,144.733824,155.101248
5,9,142,161,146.082048,160.311648
5,10,135,168,136.7251712,165.67008
5,11,80,169,82.47168,163.98336
5,12,57,165,62.341376,162.000864
5,13,53,147,60.504064,145.138176
5,14,62,144,68.129152,139.752288
5,15,61,132,66.862592,127.479648
5,16,88,80,94.571136,75.279456
6,1,173,30,171.953792,33.494784
6,2,183,108,172.76608,107.701056
6,3,188,112,177.58976,112.8072
6,4,183,123,173.85152,122.592
6,5,188,133,177.424512,132.000384
6,6,184,135,173.71328,134.080416
6,7,187,140,177.111168,138.559584
