Images,LM2,LM3,LM4,LM5,LM7,LM8,LM10,LM11
1,1.03387,1.74474,1.61689,2.7932,1.27749,1.87558,3.03933,2.02482
2,1.86549,1.53446,1.31589,1.74371,2.33009,3.42126,0.58187,1.15715
3,3.41951,2.96511,1.6344,1.4748,1.20036,1.39068,0.3488,1.07446
4,0.18243,0.44182,1.16095,1.71101,0.95525,1.51731,0.83151,1.43394
5,0.95166,1.93941,1.69601,2.35089,2.42009,2.21829,1.2013,0.98772
6,1.77857,0.86274,2.36658,1.45757,0.77418,1.03654,2.04963,0.62968
7,0.54543,2.57694,1.00992,0.29658,2.02997,1.48693,0.28446,1.09902
8,0.60805,0.74424,2.66773,1.07837,4.00564,4.8836,0.74595,1.27806
9,2.05107,1.67144,1.72892,2.53824,2.01354,2.11371,0.98683,0.80574
10,2.33362,2.01136,2.01757,2.17927,2.87783,2.03105,2.14126,2.06285
11,0.86779,1.2464,1.70884,3.02753,4.65654,5.3934,1.03737,1.16794
12,0.99717,1.34107,0.48176,0.75517,2.0156,2.64237,1.30593,0.97193
13,1.10306,0.97954,0.45909,1.37446,1.41071,2.59581,1.09764,0.85773
14,1.51794,0.34562,1.21295,0.25304,2.12955,2.90073,0.21748,0.69866
15,1.31632,0.77481,1.59451,1.30936,0.7992,0.13613,1.15425,3.01195
16,1.50525,2.7636,2.10573,2.74601,1.33188,0.63394,1.65231,2.66245
17,0.48773,0.85847,0.23033,1.04157,3.70459,4.38659,1.38238,1.41291
18,1.44104,2.51489,2.56282,2.15148,2.92891,3.15266,3.62396,2.18008
19,2.60869,2.83404,2.30543,1.78557,3.4024,1.48592,1.98663,1.48488
20,1.62471,1.34647,1.22558,1.23969,0.54212,1.87595,1.07113,0.61405
21,2.73707,3.68932,3.40549,2.55299,1.91798,2.24711,2.37578,2.45316
22,1.77877,2.30934,2.5176,1.81045,0.45065,1.23299,2.51354,2.90922
23,0.89667,1.24767,1.14509,2.46554,1.82381,1.99099,2.85072,0.30633
24,0.84504,1.07911,1.07149,1.5298,0.50393,1.61661,2.01644,0.36389
25,2.45189,0.47298,0.70447,0.65429,2.29008,2.65757,0.85529,1.07894
26,7.31596,5.37265,7.06778,7.57193,5.16021,6.01591,6.904,7.78807
27,1.81478,1.6976,2.41389,1.63466,0.90656,2.21305,1.19846,0.79308
28,3.01216,1.5934,3.08797,1.80351,3.69417,0.83976,3.33613,3.46099
29,1.87186,2.48503,1.25656,1.78409,2.75664,2.17415,1.36143,1.93879
30,0.6639,0.90149,0.41215,0.8804,1.87091,0.88268,0.85206,1.1995
31,2.7273,3.76747,1.84703,2.07652,1.80923,2.54937,3.88823,2.57221
32,0.88048,1.6582,1.72346,1.92528,0.85526,2.15369,0.96652,3.19236
33,1.94842,1.13723,0.70289,1.80006,1.05263,3.2241,1.13757,1.40985
34,1.74508,1.12291,2.00798,1.02548,2.57225,2.73966,1.61594,0.82278
35,2.41605,3.15709,1.71613,2.23216,0.72689,0.51159,3.26766,4.11934
36,1.70444,2.00433,0.97493,2.71997,3.92482,3.40345,0.54938,1.99535
37,1.81907,2.44889,3.04117,2.21916,2.27787,1.68085,3.1514,3.25117
38,3.02556,2.2799,1.44941,1.44818,1.50189,0.54448,0.97409,0.60828
39,2.94452,2.65048,2.27603,1.73434,1.78514,2.01515,1.87026,2.21788
40,1.27685,0.77986,1.30257,1.40952,4.87871,5.16607,2.13298,2.23975
41,0.50438,1.65161,1.36796,1.25173,2.95231,2.6517,1.23787,1.60225
42,0.47974,2.04207,1.13048,1.9033,1.60522,0.36041,2.62141,2.24067
43,4.23875,3.86154,3.06293,5.08718,0.77263,1.44658,3.40514,3.32635
44,2.22911,0.76674,1.14752,1.91003,1.3431,3.36848,0.65455,1.71725
45,0.29076,0.44867,0.74055,1.10376,4.19889,5.74854,1.76888,2.06437
46,3.80405,3.15672,1.9215,1.35317,1.09091,2.25281,3.94393,2.08143
