Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8
1,3.13309,1.8044,3.21016,1.15681,3.99086,3.02418,0.29475,2.06342
2,1.50104,4.27524,3.89172,0.79985,0.6018,3.10099,4.4215,3.25136
3,1.36316,2.22032,1.57251,2.90499,1.81482,0.89584,3.75783,2.00265
4,2.26865,2.40403,2.85626,3.16784,2.71463,1.49781,0.35303,0.5401
5,0.57994,0.79782,1.40891,2.4326,2.97587,3.13044,1.49788,0.53095
6,2.84332,3.18229,3.9813,4.68615,1.79385,1.29265,5.79413,5.10684
7,0.81508,2.8417,4.1917,0.56228,2.2345,2.07182,2.69692,2.20763
8,3.14441,2.97176,1.95614,2.74087,3.82347,6.27486,1.94748,1.85515
9,2.07101,2.08047,1.92286,0.81498,4.64423,4.68956,5.19059,0.29741
10,2.51507,0.84644,2.00445,1.58705,2.35923,1.62374,1.78726,0.94486
11,3.41633,1.54225,1.25586,1.28141,4.26904,1.05954,3.77776,2.30504
12,2.17007,0.90006,1.60614,2.06585,4.79999,4.3703,3.73316,4.00632
13,1.10965,3.96208,1.01166,0.62638,2.68195,2.70576,2.88515,1.19702
14,5.7218,5.75072,8.03078,1.32482,0.60774,4.66087,6.59378,2.9288
15,1.63994,2.63332,1.76929,1.08243,1.721,2.28328,3.99531,2.16927
16,2.94042,0.60659,2.83288,2.34696,4.282,4.53343,3.46941,4.97283
17,4.14921,3.72122,5.08156,0.60926,1.01661,3.70016,1.78203,4.94828
18,3.75082,4.40933,2.03039,3.51466,3.69797,5.42891,3.75815,9.4309
19,0.82045,2.66671,2.41115,3.55663,3.00939,2.45277,1.39122,4.31065
20,3.52366,2.39244,1.09622,0.9248,3.42127,3.39152,1.60933,2.38498
21,2.7126,2.11289,1.99313,2.93609,1.69769,2.53738,3.82379,1.48358
22,2.21179,4.09084,1.00351,0.44151,0.52317,2.61192,0.71846,3.60854
23,1.14365,2.03875,2.34918,0.19279,2.32645,4.26223,0.87942,0.8413
24,3.3534,0.90541,1.05949,1.28387,2.09179,5.19083,4.04781,9.51186
25,3.59335,0.83422,2.16169,2.7642,3.29531,2.40242,1.52272,2.04401
26,3.86528,3.7223,2.06109,0.38612,3.23739,8.3053,3.0912,4.40749
27,2.69513,2.06523,1.76672,0.92286,2.67432,2.28356,1.40629,0.95225
28,1.41991,2.24247,2.07199,0.90668,2.84189,3.47802,2.22578,1.38489
29,2.55375,1.60391,2.83018,1.57702,2.17533,4.99079,3.3349,3.57974
30,2.47433,3.56926,2.7467,2.69878,0.89623,3.86746,2.41583,6.97251
31,1.60304,1.51877,1.93863,1.16005,1.20966,0.9857,1.58992,2.01433
32,4.3412,1.87935,6.12116,1.31744,8.10092,8.79744,4.66827,4.33028
33,3.0363,2.78426,2.51695,4.50194,2.84859,2.6231,0.34378,10.28104
34,2.95107,2.14215,2.98926,4.18577,4.46455,4.22995,6.76155,4.9893
35,0.86204,2.67081,1.42526,1.95253,2.84188,1.92825,1.29094,3.65609
36,2.84739,3.56352,6.57622,2.00867,1.85006,5.81539,2.28368,1.61273
37,1.2156,3.49012,0.31181,4.40951,4.07763,4.94718,1.57169,1.29878
38,2.84021,1.19196,1.89756,1.70835,3.01516,2.32477,1.54767,6.31565
39,3.45171,2.72952,2.3292,5.58211,3.50396,5.76841,5.02487,5.13805
40,3.03145,6.54901,5.76327,5.11298,4.32304,5.27359,3.67852,2.85262
41,1.65173,2.91633,3.69166,4.72709,3.18561,2.04734,2.84734,3.11928
42,1.96379,1.39439,5.6553,2.72994,0.90561,2.6346,3.57779,2.36085
43,1.52884,2.74021,1.89671,1.94659,3.57254,2.29807,0.29464,1.26715
44,1.94591,1.14624,0.07716,2.41343,3.08899,2.91437,2.28703,0.84501
45,1.47976,1.75717,1.4879,1.66658,2.98017,4.79733,4.78703,1.35458
46,1.92183,0.71647,0.63891,2.55045,4.19794,1.62423,2.20394,2.47017
47,3.26222,2.90359,3.19892,5.21364,3.01245,4.81246,0.40429,1.11523
48,1.58817,1.82379,1.94126,1.5511,0.26017,3.49721,3.49472,1.96483
49,1.39928,3.04174,1.28074,1.59862,0.526,1.8856,0.93202,1.00597
50,2.63951,1.13707,0.8365,3.49777,1.73811,0.82416,1.51202,1.54376
51,3.77011,1.15527,3.76738,3.39168,1.08671,1.51355,6.97566,1.9712
52,1.54637,2.01506,2.40718,3.46222,3.4977,0.99043,1.21054,1.45687
53,0.7905,5.0025,4.52882,0.5652,2.08934,3.42302,3.08316,2.97948
54,3.16763,1.15864,0.33863,3.6515,6.05324,9.52295,6.12648,3.2683
55,1.48743,2.9874,6.39714,2.7066,5.49416,1.75648,1.84939,2.07933
56,3.60773,3.2073,3.51818,2.22221,1.45051,4.5348,4.17441,3.17002
57,4.38334,3.00431,0.53612,2.90421,3.57911,3.23529,1.5588,4.44463
58,2.2481,2.38759,3.5926,3.43867,2.47377,3.30363,4.48039,2.926
59,2.98577,4.2351,3.56203,6.35142,7.18128,4.21378,3.39249,3.8683
60,2.74863,2.02525,2.34445,2.61433,2.37887,1.27926,3.31244,2.57316
61,0.26382,2.15786,1.4909,3.36767,2.00113,1.26543,2.51286,0.35897
62,0.97424,1.76858,1.61467,0.99524,1.21844,2.71908,1.83971,0.93087
63,1.34881,2.26006,3.08045,2.64889,1.96955,3.52855,2.29146,2.07039
64,2.93212,2.24748,2.85952,2.28839,0.72007,1.91752,1.64208,3.38098
65,1.536,2.12491,0.51325,3.56865,5.03105,3.52204,2.90642,2.56236
66,2.92859,4.43364,3.82084,3.82948,2.35155,2.90395,3.38918,1.50826
67,2.34179,1.28162,2.18876,2.80482,1.54078,1.13438,1.19131,3.17445
68,1.38743,2.53597,2.05461,2.6624,4.51542,4.39959,3.01866,2.06985
69,1.29799,1.51044,2.18095,1.49374,2.04639,3.36914,1.71664,1.36406
70,0.96228,1.41196,0.98035,1.04703,0.82579,0.71539,0.70206,2.50399
71,1.5177,2.14885,0.49574,1.05902,2.7162,3.09362,1.31398,2.78914
72,1.36133,1.44765,2.18704,0.89276,1.6705,0.99538,1.37435,0.75612
73,5.60689,4.23922,2.47025,5.03276,6.95563,9.93624,4.95057,5.63142
74,2.96487,3.65199,1.57244,0.87369,4.32305,4.83691,3.7891,2.51632
75,5.2953,4.21017,4.81825,3.98866,4.65427,8.87334,3.20066,4.16153
76,3.28762,3.25329,2.64203,2.70235,3.78868,5.8195,5.37792,3.55322
77,3.69514,3.36201,4.12443,4.47465,4.42217,3.03262,3.19527,2.60559
78,7.44982,8.0687,7.09925,7.4855,0.61153,8.35516,8.89008,6.56779
79,4.75696,1.06805,1.70398,2.65202,3.22017,2.23761,2.1258,4.75432
80,0.78072,2.33444,1.80203,0.67939,0.48345,3.62537,4.15105,2.49215
81,1.02138,1.804,0.96363,2.73298,3.00413,2.63688,2.15709,1.84678
82,2.04875,0.65137,1.89938,1.7106,3.69374,2.63698,1.48241,1.88319
