Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10
1,3.51506,0.90072,2.56719,2.40545,2.18261,0.10643,2.15831,1.92741,0.79136,4.79702
2,1.99894,1.46541,2.76187,3.53874,2.93711,1.75719,4.05705,2.3584,4.79393,0.99481
3,3.08706,1.01241,2.87733,0.94799,3.15601,4.06737,3.79687,3.06936,3.39203,3.78941
4,2.02587,1.97978,4.02116,3.42252,1.78027,3.036,1.79269,3.17127,2.00514,2.16212
5,0.48004,1.66439,1.69763,0.3986,0.39391,3.31246,0.40498,1.55321,3.25979,1.45305
6,1.71991,2.98842,2.70122,1.66619,2.30327,3.49688,1.88729,2.83692,2.3829,1.92514
7,1.51009,2.61184,2.16603,2.40893,2.03475,2.63507,1.12346,1.17518,0.37623,0.56346
8,2.71278,3.2204,3.74492,2.02167,6.02554,3.72734,5.73611,2.70659,4.80187,3.37367
9,4.12035,1.81352,2.80693,1.61843,2.93433,0.94944,2.64301,1.69987,1.10559,1.54914
10,2.55816,1.83429,2.19565,1.5164,3.36438,2.27579,2.96231,2.84312,3.31778,2.93806
11,5.1474,1.24808,6.68366,1.38718,5.50088,1.3593,5.29379,4.77852,4.27677,4.45081
12,3.04004,1.43313,5.83803,2.35937,2.79551,2.88806,3.48771,3.57537,1.4489,1.32798
13,3.08155,3.69946,1.58914,2.37025,2.26847,2.86673,2.42246,1.90265,2.23183,2.96822
14,3.29778,3.29471,4.83037,1.71431,2.75864,1.31859,2.07386,0.36174,1.96821,0.88855
15,1.67933,6.35158,2.64183,1.78888,1.49025,1.29569,0.54307,1.79172,0.24487,2.20328
16,4.18879,0.51365,3.10108,1.17022,5.14538,6.08972,4.70915,0.19496,3.16585,0.25967
17,1.65616,0.72947,2.16968,1.86146,0.2852,1.17195,2.90507,3.27678,0.68513,2.82142
18,3.14112,0.22499,4.37927,1.89042,3.99701,1.97654,2.41016,1.14664,2.05404,3.3087
19,2.68771,3.7235,2.0294,3.41763,0.66738,0.95022,2.65953,2.25503,2.81501,2.22756
20,4.67282,2.60188,1.07589,3.28296,0.57166,1.33658,0.87104,1.76221,2.55934,2.46028
