Images,LM1,LM2,LM3,LM4,LM7,LM8,LM9,LM10
1,3.00049,0.85308,2.00992,2.55158,1.94586,1.36138,1.70478,4.71979
2,2.4567,1.94396,2.28643,2.38377,3.25,2.20228,4.54515,2.53753
3,2.86107,1.09969,2.22001,0.90592,3.98109,3.11089,3.57027,3.38862
4,2.70138,2.15852,2.15164,3.18089,1.23303,2.1816,2.437,1.19822
5,0.92254,1.47648,1.6938,0.30002,0.07454,1.41693,2.90703,1.39567
6,1.60634,2.32949,2.31787,1.82339,2.52258,2.01442,2.59882,2.91096
7,1.46894,1.77768,1.83571,2.11885,0.95124,1.54992,0.77356,0.39056
8,2.37478,2.01379,3.54262,3.34115,5.56603,3.94278,7.25895,4.54352
9,4.14609,1.20077,2.35845,1.53801,2.89905,1.6647,1.04799,1.54226
10,2.23065,1.23155,2.04022,1.90065,1.73792,1.87425,2.24689,2.7526
11,4.4814,1.10177,5.36751,0.71384,5.47198,4.40492,4.75106,5.34339
12,3.47732,1.42161,5.51541,1.79125,3.0902,2.80871,1.12625,1.30679
13,2.04715,4.17591,1.31051,2.32725,1.58255,2.20495,2.04153,3.29646
14,4.31374,1.49147,4.19627,1.41841,0.90588,0.04414,1.28585,0.14578
15,1.70532,5.71273,2.39475,0.74188,0.3541,1.44584,0.28128,1.96078
16,2.95975,0.46749,3.5483,1.2095,4.05618,0.14767,4.13921,0.86472
17,1.60563,0.81369,2.27729,1.61202,3.77399,3.79521,2.10017,4.28301
18,3.82941,0.92976,4.26103,1.89606,3.36143,1.36328,2.04213,3.36091
19,1.65453,2.90695,1.19163,2.01207,1.19077,1.1201,1.35486,1.24259
20,4.56775,2.18453,0.93498,3.31628,0.58992,0.99282,2.95193,2.94299
21,1.98414,0.2384,2.17435,2.6067,2.91785,2.86942,2.35823,2.33305
22,2.56799,2.57641,3.02573,3.75684,0.79543,0.79342,1.85503,2.08083
23,4.04934,1.36481,8.21321,3.84106,6.26611,5.97926,8.85398,5.99007
24,1.97785,1.00526,0.89459,2.79194,0.19145,0.75261,0.15884,2.24291
25,1.71587,2.16354,0.56071,0.88627,0.93512,0.62809,0.95651,2.21282
26,1.6875,4.00692,2.92771,3.33289,0.79977,1.18972,1.049,2.17118
27,6.14175,4.67754,4.34492,3.77723,1.27987,1.84484,3.08794,1.1736
28,3.13796,1.87629,2.22021,2.15436,2.53896,2.62757,2.18561,3.09734
29,2.71851,3.17744,4.55854,5.14518,3.94607,5.36526,5.1755,5.13933
30,2.33116,0.70091,2.45906,1.73376,1.04297,1.45781,2.06024,2.87609
31,3.29817,0.73791,1.22677,0.80766,1.88297,2.30967,4.22022,4.22032
32,2.20233,2.54233,0.45206,3.45827,3.34279,3.99816,3.44291,3.46791
33,5.5956,1.80041,3.395,2.002,4.19075,2.67128,4.01444,4.83639
34,0.54006,3.923,0.5955,3.35611,6.20612,4.46616,4.58742,2.80563
35,3.39966,1.78382,3.53242,2.3173,4.21316,2.78201,3.96133,4.37482
36,4.41973,1.76509,0.17093,3.05192,0.39487,0.52406,1.71087,0.97127
37,0.3731,3.05586,3.54416,4.77874,6.66227,6.26744,5.78424,6.70811
38,2.65285,1.624,1.87837,1.53963,1.92312,1.08961,0.21426,3.04029
39,3.05398,0.97078,2.67408,0.88722,0.61385,0.65094,1.23942,2.77998
40,1.5281,3.40386,1.07401,2.99847,0.17882,2.54385,1.9508,0.17712
41,1.12128,2.46076,1.6735,0.20568,0.12252,1.05635,2.41661,3.08265
42,3.77505,1.7432,2.42625,2.39164,2.67663,0.5428,5.00271,1.05
43,1.03019,1.301,1.87299,1.656,3.25436,1.46032,1.43603,1.15945
44,1.56574,2.07728,0.86163,2.91533,1.44413,1.10333,1.54102,2.49546
45,1.98839,2.3671,1.04051,4.43965,2.323,0.91183,1.08847,1.77509
46,3.16012,2.07341,1.65206,1.62769,1.24577,3.30471,2.87305,3.98613
47,2.50952,4.5808,1.3604,3.17544,2.02956,5.16959,2.57958,5.59929
48,4.22447,0.27518,2.73007,1.30049,1.5052,1.78872,1.3713,1.31556
49,0.7909,1.76978,0.70175,0.90716,1.02053,0.52638,1.181,1.73741
50,1.86879,2.79743,0.41666,1.1647,2.20205,1.58195,1.81997,1.852
51,1.0803,1.65587,3.58948,2.62746,2.03538,1.04324,1.99926,0.45164
52,2.36244,2.78171,1.40837,2.41152,1.91174,1.93692,1.79667,1.82457
53,4.41069,4.82562,3.80916,2.64225,3.24551,2.70288,2.87365,3.34229
54,2.61737,7.40306,2.25556,3.66286,1.43024,0.2079,1.16306,2.37966
55,3.41489,1.55538,3.41905,0.76327,2.01238,1.60666,2.54105,0.60835
56,2.19845,2.12632,2.49216,1.54873,1.21076,0.89494,3.07538,2.16723
57,0.7196,2.65714,2.43321,2.96922,0.32457,1.38896,1.32039,0.76174
58,3.52181,3.04687,2.02667,1.8323,1.61169,3.78091,3.22086,2.42222
59,3.11349,3.16292,3.06261,1.31118,1.53337,1.8259,2.24679,1.51476
60,4.13505,5.4557,3.03627,5.27827,3.3731,3.60768,2.53345,3.85944
61,3.60406,1.62949,2.75919,2.77195,2.21842,1.40946,1.62373,1.85857
62,3.11875,2.21461,1.89212,1.76756,1.84023,1.50882,1.71948,2.23934
63,1.50667,1.50729,1.54785,1.57292,2.13194,0.69735,2.00776,0.68226
64,3.83785,4.80051,4.4242,6.54698,5.83737,5.56875,6.23376,5.69082
65,1.26503,4.00928,1.6419,1.97265,1.48573,1.76023,3.02237,2.72331
66,1.94164,1.92846,1.80035,1.54167,0.51086,0.90134,0.2983,1.34087
67,3.02617,1.93424,3.88279,0.39109,2.12303,2.04055,2.13265,2.87933
68,2.83763,5.67965,4.80131,6.16885,0.90053,1.02995,2.12827,1.7147
69,5.81484,10.27459,5.04695,6.8289,8.14055,9.00735,12.03085,7.82397
70,0.86336,3.03264,0.72542,2.88737,0.57467,1.75165,1.11434,2.4654
71,2.50279,1.61221,0.46033,2.03986,0.73092,1.34279,2.0591,0.44762
72,4.09512,3.01909,2.5455,1.08757,0.95538,1.3812,3.22804,8.36221
73,2.57919,5.62912,3.43538,1.95379,2.2571,3.1383,3.08395,1.44839
74,1.05705,2.94807,1.79795,1.47742,0.87843,0.68473,0.80134,1.23627
75,0.85826,2.17646,1.71459,4.06533,1.87365,1.98625,0.8936,1.45678
76,4.74481,4.61687,4.29925,4.59628,4.68927,4.20481,6.33177,4.32566
77,0.69812,2.54108,1.22794,1.72395,1.2306,1.03247,1.5331,2.10235
78,4.89457,6.52796,4.14797,3.48501,3.07296,2.47549,1.38193,1.9224
79,1.64647,2.77347,2.88692,1.07898,0.64236,1.22236,0.70744,0.63418
80,1.45457,2.28493,2.42374,0.91898,1.67241,2.4706,1.97443,1.79873
81,2.81302,0.42721,3.53249,1.25419,1.0302,1.77551,1.25258,2.4931
82,3.81175,3.42267,5.44641,4.03889,3.17629,2.2025,5.65296,1.81285
83,2.14149,2.09073,3.21358,0.93878,1.86777,2.64352,3.39717,1.71138
84,2.00109,1.60605,4.12505,3.29392,4.14861,2.42663,3.79163,3.11212
85,2.62535,3.2393,3.92801,4.62056,2.66349,2.74841,2.93515,4.27777
86,4.86832,2.99702,4.43105,2.32196,3.49867,4.79321,4.01943,3.26885
87,0.46547,3.29081,3.7608,2.92768,1.87699,2.64237,2.75241,1.58572
88,0.38235,1.53306,0.58578,1.27817,1.23816,0.55021,0.74434,1.13916
89,0.45417,1.64506,0.96911,0.87763,0.41282,0.78011,2.56884,0.82711
90,1.43954,2.56818,1.47335,1.79917,1.11988,1.84265,0.72035,1.41932
91,2.23431,2.78949,2.20545,0.74969,0.85518,1.53507,1.09655,1.4526
92,2.2216,2.42627,0.77422,1.39785,1.49982,0.73614,1.52352,0.939
93,2.05772,2.36472,1.92465,1.26663,1.13349,2.04958,1.48859,1.45306
94,0.58243,1.25316,0.3706,1.04849,0.26276,2.22561,2.10026,3.86557
95,3.772,3.59692,4.70535,2.49995,1.27978,2.44034,3.15278,2.25625
96,3.07182,4.31705,2.44485,1.53357,0.77176,1.02317,1.16076,2.02722
97,0.66816,0.31687,2.31604,1.07934,1.48171,1.45925,1.59136,3.02374
98,4.77972,0.91862,4.71334,3.44893,6.08127,1.40259,2.26272,0.2062
99,2.65922,1.72252,3.51291,2.08102,3.90951,1.44139,3.4745,1.03758
100,1.08073,1.52316,1.29967,4.18714,2.08535,0.84831,3.5437,2.83504
101,1.50694,1.46769,1.6123,0.93808,1.76175,0.54578,1.85767,0.49044
102,1.38216,1.27923,2.00256,2.22262,3.63221,1.12787,0.66483,2.36512
103,2.06126,1.67529,2.19295,2.03244,1.40732,1.89311,3.12762,1.24943
104,2.07635,2.42148,2.21879,3.36449,1.84154,3.5317,2.22398,3.76492
105,4.75194,5.46506,5.459,6.94794,3.56463,5.1784,3.50193,3.44502
106,0.76882,3.43357,1.86603,3.69996,2.46582,2.59455,1.46703,1.57405
107,1.0599,0.93652,2.70689,3.09619,1.87561,1.44593,1.75076,1.12413
