Images,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11
1,2.25613,0.94674,2.148,2.9517,3.00581,1.24466,1.83963,2.35183,1.97601,3.11815,2.36603
2,1.14006,1.23123,1.23595,2.44646,1.24083,2.61184,2.21838,3.37197,1.07646,0.43902,0.89109
3,2.64729,4.10509,3.578,1.62501,1.12931,2.13121,1.35474,2.9003,0.98213,1.45051,1.40144
4,1.16363,0.81152,0.20116,1.57834,0.9033,2.61967,1.70678,1.46316,2.32965,0.78087,1.19002
5,1.59929,1.56981,2.8152,2.59151,2.02098,1.36514,2.8525,2.71381,0.50336,1.39632,1.13897
6,1.77097,2.21876,0.70805,2.909,1.48011,1.66831,2.3083,1.95278,2.72738,2.07621,0.71456
7,1.72657,0.28309,3.28912,1.60366,1.00148,0.49842,0.53674,0.16605,1.55487,1.07048,2.01107
8,1.33454,0.9897,0.33218,1.85593,0.67731,3.18572,4.29257,5.1665,3.18858,0.58941,0.14581
9,1.90974,1.87028,2.04558,2.12408,3.56724,3.74351,3.57038,2.94922,4.22525,1.63845,0.13037
10,2.24375,1.78576,1.94388,1.82692,2.83532,2.73631,3.53293,0.97003,1.39859,1.89145,1.96426
11,0.74309,1.12068,1.09246,1.95034,2.30089,3.01409,4.00519,4.94334,4.16855,1.26262,1.41781
12,2.16545,1.42965,0.72363,1.29814,1.95424,0.52693,1.88222,2.23542,1.84377,0.52355,0.95788
13,1.51971,0.49193,1.22028,0.23749,1.58054,1.08578,1.69263,3.79431,4.1112,1.49941,1.77537
14,1.3735,0.6806,0.68155,1.89545,1.03867,2.40204,2.13189,2.7432,0.78123,1.20344,1.13591
15,0.51862,0.95085,0.61388,0.9639,1.77649,0.62064,1.10252,0.78071,2.18887,0.91976,2.77977
16,2.32953,0.78951,2.75853,2.43095,2.80209,0.79081,0.15197,0.63667,2.59355,2.11665,2.34331
17,1.00314,0.44721,1.10199,0.4225,0.88943,3.76143,3.66314,3.86944,3.24785,1.41762,0.67887
18,0.89578,2.0883,2.48956,2.38979,2.13022,4.21867,3.26363,2.19143,4.62007,3.5892,1.63884
19,3.83219,2.64886,3.60932,2.83464,2.56053,2.16077,3.05975,1.87606,0.90065,2.56878,1.94223
20,0.39812,1.84202,1.48837,1.94012,1.45584,0.43716,0.75354,2.22681,1.65457,1.37525,0.64848
