Image,Landmark,x1,y1,x2,y2
1,1,215,146,213.00992,143.6904
1,2,124,144,125.0163328,143.777952
1,3,210,116,207.726336,114.341664
1,4,129,113,129.371072,114.396672
1,5,206,87,204.658944,84.079488
1,6,134,85,133.372992,83.480448
1,7,191,66,192.114688,61.122624
1,8,148,65,146.476416,62.644032
1,9,187,45,186.629504,41.52336
1,10,155,45,150.569728,42.137472
2,1,198,136,200.384,132.162912
2,2,111,134,111.167616,135.505824
2,3,193,106,195.163136,103.0961952
2,4,116,104,114.6304,105.453888
2,5,189,76,189.669888,71.612448
2,6,120,74,118.9067904,73.891104
2,7,176,53,177.009024,49.216704
2,8,132,54,130.1556352,52.845408
2,9,170,34,170.59904,28.787904
2,10,137,34,133.0264192,30.392832
3,1,227,142,222.605312,140.700672
3,2,136,144,133.2093568,141.021984
3,3,223,114,217.306624,111.488928
3,4,140,115,137.6959232,111.781536
3,5,215,88,212.761728,81.9624
3,6,144,89,142.448896,81.797088
3,7,199,66,199.67936,59.592672
3,8,156,67,154.690944,60.876864
3,9,194,47,193.587712,39.897888
3,10,156,47,158.30016,41.109792
4,1,212,149,207.823872,144.555744
4,2,117,143,119.7797248,143.006496
4,3,209,116,204.013568,114.668256
4,4,125,111,125.1585152,113.069184
4,5,206,87,200.62912,83.919072
4,6,129,82,130.2622976,82.35936
4,7,193,63,188.959616,61.134912
4,8,146,60,143.720448,61.875168
4,9,190,44,184.568576,41.02128
4,10,151,42,147.662848,41.095104
5,1,226,141,223.517696,140.278752
5,2,137,137,133.4628992,136.458912
5,3,224,110,219.992704,110.59344
5,4,142,108,139.5115264,106.943904
5,5,219,81,217.3216,80.37552
5,6,146,79,146.18944,75.991392
5,7,207,57,204.96064,56.744352
5,8,160,55,158.768128,55.733184
5,9,203,40,199.939328,35.852544
5,10,164,38,163.24864,35.940672
6,1,208,140,208.981888,138.818784
6,2,123,136,120.5563008,137.911296
6,3,206,111,204.3328,108.919296
6,4,128,108,126.4501248,108.763872
6,5,200,83,200.852096,79.610784
6,6,135,78,130.1766144,78.95088
6,7,189,60,188.319232,56.796192
6,8,146,58,143.68,57.799008
6,9,182,42,183.799936,37.320864
6,10,149,41,147.053952,37.861728
7,1,230,139,226.873344,139.01184
7,2,142,136,137.2557824,136.071648
7,3,226,109,222.521472,108.792096
7,4,148,107,143.007232,106.712256
